Day,Platform,Content_Topic,Format,Call_To_Action,Status
Day 1,LinkedIn/Twitter,"The Rear-View Mirror Budgeting Trap",Text + Graphic,"Install WealthOS Demo",Scheduled
Day 2,TikTok/Reels,"Stop Categorizing Coffee Receipts",Short Video,"Link in bio for WealthOS",Scheduled
Day 3,LinkedIn/Twitter,"Debt Avalanche vs Debt Snowball Math",Text + Image,"Download Debt Payoff Model",Scheduled
Day 4,Facebook/LinkedIn,"Why Your Net Worth Data Should Be Private",Text + Graphic,"Get Self-Hosted WealthOS",Scheduled
Day 5,TikTok/Reels,"How to Calculate Your 25x FI Target",Short Video,"Calculate Your FI Number",Scheduled
Day 6,Twitter/LinkedIn,"How WealthOS Diagnoses Your #1 Bottleneck",Text + Video,"Take Bottleneck Quiz",Scheduled
Day 7,Facebook/LinkedIn,"Managing Irregular Freelance Income",Text + Graphic,"Try Business Module",Scheduled
Day 8,TikTok/Reels,"The 4 Stages of Emergency Protection",Short Video,"Check Reserve Level",Scheduled
Day 9,Twitter/LinkedIn,"Productive Assets vs Passive Savings",Text + Chart,"Track Cash Flow Assets",Scheduled
Day 10,LinkedIn/Facebook,"White-Labeling WealthOS for Financial Coaches",Text + Case Study,"Apply for Agency Deal",Scheduled
