Month,Paid_Customers_B2C,Agency_Customers_B2B,Gross_Revenue_USD,Ad_Spend_USD,Net_Profit_USD,LTV_USD,CAC_USD
Month 1,100,5,30895,3000,24500,299,30
Month 2,150,12,47138,5000,38200,299,33
Month 3,180,20,18220,4000,12800,198,22
Month 4,250,30,25720,6000,17500,210,24
Month 5,350,45,36605,8000,26100,225,23
Month 6,500,60,51440,11000,37800,240,22
Month 7,650,80,67270,14000,50100,250,22
Month 8,850,110,89040,18000,66500,265,21
Month 9,1100,140,114760,22000,86200,275,20
Month 10,1400,180,146420,26000,111000,280,19
Month 11,1800,220,186080,30000,142500,285,17
Month 12,2200,280,229520,35000,176800,290,16
